Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"P12"	"JST_XH_3_PIN_RA"	"127.64mm"	"16.89mm"	"122.56mm"	"9.53mm"	"125.1mm"	"16.89mm"	"T"	"90"	"ALARM"
"P13"	"JST_XH_3_PIN_RA"	"160.97mm"	"101.35mm"	"166.05mm"	"108.71mm"	"163.51mm"	"101.35mm"	"T"	"270"	"RXTX_SIG"
"P14"	"JST_XH_3_PIN_RA"	"172.81mm"	"101.35mm"	"177.89mm"	"108.71mm"	"175.35mm"	"101.35mm"	"T"	"270"	"AUX"
"Q1"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"122.3mm"	"58.8mm"	"122.3mm"	"58.8mm"	"123.3mm"	"57.85mm"	"T"	"0"	"MMBT5401-C8326"
"Q2"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"111mm"	"58.8mm"	"111mm"	"58.8mm"	"112mm"	"57.85mm"	"T"	"0"	"MMBT5401-C8326"
"Q3"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"99.7mm"	"58.8mm"	"99.7mm"	"58.8mm"	"100.7mm"	"57.85mm"	"T"	"0"	"MMBT5401-C8326"
"Q4"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"88.27mm"	"58.8mm"	"88.27mm"	"58.8mm"	"89.27mm"	"57.85mm"	"T"	"0"	"MMBT5401-C8326"
"Q5"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"77.34mm"	"58.8mm"	"77.34mm"	"58.8mm"	"78.34mm"	"57.85mm"	"T"	"0"	"MMBT5401-C8326"
"Q6"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"65.79mm"	"58.8mm"	"65.79mm"	"58.8mm"	"66.79mm"	"57.85mm"	"T"	"0"	"MMBT5401-C8326"
"Q7"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"54.36mm"	"58.67mm"	"54.36mm"	"58.67mm"	"55.36mm"	"57.72mm"	"T"	"0"	"MMBT5401-C8326"
"Q8"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"161.29mm"	"66.55mm"	"161.29mm"	"66.55mm"	"160.29mm"	"67.5mm"	"T"	"180"	"MMBT5401-C8326"
"Q9"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"161.42mm"	"50.04mm"	"161.42mm"	"50.04mm"	"160.42mm"	"50.99mm"	"T"	"180"	"MMBT5401-C8326"
